investment_id,capex_meuro,uncertainty_pct,opex_meuro_per_year,project_url
4,67.6,±10%,0.163,https://tyndp-data.netlify.app/tyndp2018/projects/projects/1
474,7.4,±10%,0.056,https://tyndp-data.netlify.app/tyndp2018/projects/projects/1
941,7.3,±10%,0.037,https://tyndp-data.netlify.app/tyndp2018/projects/projects/1
2,28.5,±10%,0.065,https://tyndp-data.netlify.app/tyndp2018/projects/projects/1
18,18.69,10%,0.49,https://tyndp-data.netlify.app/tyndp2018/projects/projects/4
496,62.42,10%,0.208,https://tyndp-data.netlify.app/tyndp2018/projects/projects/4
500,10.5,10%,0.055,https://tyndp-data.netlify.app/tyndp2018/projects/projects/4
499,7.17,10%,0.17,https://tyndp-data.netlify.app/tyndp2018/projects/projects/4
498,13.16,10%,0.17,https://tyndp-data.netlify.app/tyndp2018/projects/projects/4
570,7.3,10%,0.11,https://tyndp-data.netlify.app/tyndp2018/projects/projects/13
569,6.2,10%,0.09,https://tyndp-data.netlify.app/tyndp2018/projects/projects/13
31,146.5,10%,2.2,https://tyndp-data.netlify.app/tyndp2018/projects/projects/13
38,1750.0,11.4,10.2,https://tyndp-data.netlify.app/tyndp2018/projects/projects/16
55,1260.0,,5.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/21
60,140.0,5%,0.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/23
62,685.0,,8.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/25
614,155.0,10.0,1.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/26
70,800.0,10.0,5.07,https://tyndp-data.netlify.app/tyndp2018/projects/projects/28
1503,362.0,10.0,0.7,https://tyndp-data.netlify.app/tyndp2018/projects/projects/28
624,70.0,10.0,0.335,https://tyndp-data.netlify.app/tyndp2018/projects/projects/28
635,600.0,,3.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/29
642,910.0,10.0,4.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/31
90,220.0,,3.3,https://tyndp-data.netlify.app/tyndp2018/projects/projects/33
1041,140.0,,2.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/33
311,144.98,"-10%, +15%",0.0624,https://tyndp-data.netlify.app/tyndp2018/projects/projects/35
315,171.89,"-10%, +15%",0.0104,https://tyndp-data.netlify.app/tyndp2018/projects/projects/35
313,145.07,"-10%, +15%",0.0064,https://tyndp-data.netlify.app/tyndp2018/projects/projects/35
141,349.0,,16.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/36
142,1850.0,,15.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/37
144,536.0,,4.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/39
650,210.0,25%,0.6,https://tyndp-data.netlify.app/tyndp2018/projects/projects/40
219,125.0,10,1.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/47
689,173.8,10%,1.3904,https://tyndp-data.netlify.app/tyndp2018/projects/projects/47
696,0.5,±10%,0.0097,https://tyndp-data.netlify.app/tyndp2018/projects/projects/48
697,2.1,±10%,0.0387,https://tyndp-data.netlify.app/tyndp2018/projects/projects/48
1500,27.65,±10%,0.7308,https://tyndp-data.netlify.app/tyndp2018/projects/projects/48
1501,51.38,±10%,0.6904,https://tyndp-data.netlify.app/tyndp2018/projects/projects/48
1062,20.0,,0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/62
386,120.0,,0.6,https://tyndp-data.netlify.app/tyndp2018/projects/projects/62
735,60.0,,0.1145,https://tyndp-data.netlify.app/tyndp2018/projects/projects/62
427,620.0,+/- 10%,4.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/71
449,0.0,,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/74
450,0.0,,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/74
443,660.0,2%,25.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/74
752,400.0,5%,8.5,https://tyndp-data.netlify.app/tyndp2018/projects/projects/75
452,1220.0,,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/77
458,814.0,,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/78
462,349.0,,0.6,https://tyndp-data.netlify.app/tyndp2018/projects/projects/81
897,135.9,,0.27,https://tyndp-data.netlify.app/tyndp2018/projects/projects/82
896,88.6,,0.18,https://tyndp-data.netlify.app/tyndp2018/projects/projects/82
463,171.7,,0.34,https://tyndp-data.netlify.app/tyndp2018/projects/projects/82
779,63.0,±10%,0.099,https://tyndp-data.netlify.app/tyndp2018/projects/projects/85
780,4.1,±10%,0.029,https://tyndp-data.netlify.app/tyndp2018/projects/projects/85
146,560.0,6%,4.2,https://tyndp-data.netlify.app/tyndp2018/projects/projects/92
796,36.5,,1.095,https://tyndp-data.netlify.app/tyndp2018/projects/projects/94
1492,65.7,,1.971,https://tyndp-data.netlify.app/tyndp2018/projects/projects/94
1493,110.8,,2.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/94
139,12.5,,0.0375,https://tyndp-data.netlify.app/tyndp2018/projects/projects/94
801,60.0,+-10%,0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/96
1490,30.0,+/- 10%,0.2,https://tyndp-data.netlify.app/tyndp2018/projects/projects/103
1560,690.0,+/- 10%,5.5,https://tyndp-data.netlify.app/tyndp2018/projects/projects/103
1488,105.0,+/- 10%,0.8,https://tyndp-data.netlify.app/tyndp2018/projects/projects/103
1540,50.0,+/- 10%,0.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/103
1539,45.0,+/- 10%,0.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/103
810,930.0,+/- 10%,8.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/107
424,1850.0,,15.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/110
396,154.0,+-10%,0.24,https://tyndp-data.netlify.app/tyndp2018/projects/projects/111
145,220.0,+/- 10%,1.8,https://tyndp-data.netlify.app/tyndp2018/projects/projects/113
1625,800.0,25%,17.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/120
934,1000.0,30%,8.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/121
373,335.0,,1.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/123
733,190.0,+-10%,0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/124
385,190.8,,0.55,https://tyndp-data.netlify.app/tyndp2018/projects/projects/124
403,600.0,+-10%,1.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/126
96,190.0,,2.85,https://tyndp-data.netlify.app/tyndp2018/projects/projects/127
86,400.0,,6.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/127
645,160.0,,2.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/127
665,2800.0,+-15%,22.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/130
661,1400.0,10%,11.2,https://tyndp-data.netlify.app/tyndp2018/projects/projects/132
680,490.0,10%,3.9,https://tyndp-data.netlify.app/tyndp2018/projects/projects/134
176,290.0,10%,2.3,https://tyndp-data.netlify.app/tyndp2018/projects/projects/134
188,710.0,10%,5.7,https://tyndp-data.netlify.app/tyndp2018/projects/projects/135
179,190.0,10%,1.5,https://tyndp-data.netlify.app/tyndp2018/projects/projects/135
715,17.1,"-5%, +5%",0.17,https://tyndp-data.netlify.app/tyndp2018/projects/projects/138
800,63.0,"+10%, -10%",0.8,https://tyndp-data.netlify.app/tyndp2018/projects/projects/138
275,39.0,"-5%, +5%",0.19,https://tyndp-data.netlify.app/tyndp2018/projects/projects/138
273,55.0,"-5%, +5%",0.28,https://tyndp-data.netlify.app/tyndp2018/projects/projects/138
258,7.4,"+10%, -10%",0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/142
257,57.0,"+10%, -10%",0.7,https://tyndp-data.netlify.app/tyndp2018/projects/projects/142
