Name;Country_ISO3;Lat;Lon;Status
Vila do Conde, Portugal;PRT;41.3540398;-8.7435403;Found in PRT
Malling;DNK;56.0376645;10.1912382;Found in DNK
Levitha Island;GRC;37.0079289;26.4675911;Found in GRC
Skavica;"ALB;SRB;BGR;GRC;MKD";41.9144729;20.360787;Found in ALB
Sindi;"EST;LTU;LVA;POL";58.4075128;24.6583155;Found in EST
Sellindge;"FRA;GBR";51.1086457;0.9883745;Found in GBR
Lonny;"BEL;FRA";49.8155641;4.5876124;Found in FRA
Tartu;"EST;LTU;LVA;POL";58.3779528;26.7290023;Found in EST
Tsirguliina;"EST;LTU;LVA;POL";57.8651094;26.1964836;Found in EST
Balti Power Plant, Narva, Estonia;"EST;LTU;LVA;POL";59.353345;28.1200335;Found in EST
Viru;"EST;LTU;LVA;POL";57.7365127;26.7432746;Found in EST
Verderio;"CHE;ITA";45.665698;9.4376098;Found in ITA
Ørslevvester;"DEU;DNK";55.4680572;11.6880172;Found in DNK
Klixbüll;"DEU;DNK";54.8020784;8.8900168;Found in DEU
Dunstown, County Kildare, Ireland;"GBR;IRL";;;Not Found
Woodland;"GBR;IRL";50.5070816;-3.7061767;Found in GBR
Cruachan;"IRL;GBR";53.9841026;-10.1965449;Found in IRL
Coleraine, Northern Ireland, UK;"IRL;GBR";55.1315912;-6.671861;Found in IRL
Coolkeeragh;"IRL;GBR";55.0376508;-7.2513873;Found in IRL
Hunterston, North Ayrshire, Scotland;"IRL;GBR";55.7290528;-4.865233;Found in GBR
Sima, Eidfjord, Norway;NOR;60.5029774;7.1921686;Found in NOR
Gižai, Lithuania;"EST;LTU;LVA;POL";54.6053624;23.2237786;Found in LTU
Baczyna, Lubusz, Poland;POL;52.7551;15.1168;Found in POL
Siedlce Ujrzanów;BEL;52.1284093;22.3358556;Found (Global Search)
Ek Bis;"LTU;POL";51.4843781;-0.1226886;Found (Global Search)
Alytus, Lithuania;LTU;54.3961344;24.0459268;Found in LTU
Volpago;ITA;45.7780578;12.119815;Found in ITA
Villanova;ITA;43.0071079;12.3277503;Found in ITA
Lavrion Ss;GRC;37.7142551;24.0548015;Found in GRC
Neuravensbu Rg;AUT;;;Not Found
Lixhe;"AUT;BEL";50.7550757;5.680109;Found in BEL
Lixhe;"AUT;BEL;ISL";50.7550757;5.680109;Found in BEL
