Inv_index,Tstart,Tstop,from,to,Inv_Line_Length_km,Inv_Technology,Capacity_MW,Voltage_kV,Inv_Element type,Project_Country_ISO3,Project_N_Countries,Project_Region,Project_Jurisdiction,Infr_Type,Inv_Element_Category,Inv_Environment,Covid19,NewDirective
1,2010.0,2013.0,3,4,66.5,AC,1650.0,400.0,Overhead Line,PRT,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,0,0
1,2013.0,2016.0,4,5,66.5,AC,1650.0,400.0,Overhead Line,PRT,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,0,0
2,2010.0,2016.0,2,3,67.0,AC,0.0,400.0,ACTransmissionLine,PRT,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
2,2016.0,2018.0,3,2,67.0,AC,0.0,400.0,ACTransmissionLine,PRT,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
2,2018.0,2024.0,2,6,67.0,AC,0.0,400.0,ACTransmissionLine,PRT,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
3,2010.0,2015.0,3,4,37.6,AC,680.0,400.0,Overhead Line,PRT,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
3,2015.0,2018.0,4,5,37.6,AC,680.0,400.0,Overhead Line,PRT,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
4,2014.0,2022.0,3,4,138.58,AC,0.0,400.0,ACTransmissionLine,PRT,1.0,EU,Internal,New,Cable/Line,Onshore,1,0
4,2022.0,2026.0,4,4,138.58,AC,0.0,400.0,ACTransmissionLine,PRT,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
8,2014.0,2018.0,3,6,108.0,AC,1780.0,400.0,Overhead Line,PRT,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
9,2014.0,2018.0,3,5,99.0,AC,450.0,400.0,Overhead Line,PRT,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
18,2014.0,2026.0,3,4,30.0,AC,0.0,400.0,ACTransmissionLine,ESP;PRT,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,0
31,2010.0,2014.0,3,1,177.0,AC,2060.0,400.0,Overhead Line,ESP,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
31,2014.0,2020.0,1,6,177.0,AC,2060.0,400.0,Overhead Line,ESP,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
36,2010.0,2012.0,3,4,,DC,,320.0,Underground Cable,ESP;FRA,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
36,2012.0,2013.0,4,3,,DC,,320.0,Underground Cable,ESP;FRA,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
36,2013.0,2014.0,3,4,,DC,,320.0,Underground Cable,ESP;FRA,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
36,2014.0,2015.0,4,5,,DC,,320.0,Underground Cable,ESP;FRA,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
38,2012.0,2013.0,1,2,394.0,DC,2000.0,400.0,OffshoreDCTransmissionCable,ESP;FRA,2.0,EU,Cross-border,New,Cable/Line,Offshore,0,0
38,2013.0,2018.0,2,3,394.0,DC,2000.0,400.0,OffshoreDCTransmissionCable,ESP;FRA,2.0,EU,Cross-border,New,Cable/Line,Offshore,0,0
38,2018.0,2024.0,3,4,394.0,DC,2000.0,400.0,OffshoreDCTransmissionCable,ESP;FRA,2.0,EU,Cross-border,New,Cable/Line,Offshore,1,1
38,2024.0,2026.0,4,4,394.0,DC,2000.0,400.0,OffshoreDCTransmissionCable,ESP;FRA,2.0,EU,Cross-border,New,Cable/Line,Offshore,1,1
55,2010.0,2014.0,3,4,190.0,DC,1200.0,320.0,Underground Cable,FRA;ITA,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
55,2014.0,2020.0,4,5,190.0,DC,1200.0,320.0,Underground Cable,FRA;ITA,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
57,2014.0,2018.0,2,5,20.0,AC,500.0,220.0,Overhead Line,CHE;FRA,2.0,Extra-EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
60,2010.0,2014.0,1,2,80.0,AC,1000.0,400.0,ACTransmissionLine,BEL;FRA,2.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
60,2014.0,2015.0,2,3,80.0,AC,1000.0,400.0,ACTransmissionLine,BEL;FRA,2.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
60,2015.0,2020.0,3,4,80.0,AC,1000.0,400.0,ACTransmissionLine,BEL;FRA,2.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
60,2020.0,2022.0,4,5,80.0,AC,1000.0,400.0,ACTransmissionLine,BEL;FRA,2.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
62,2013.0,2014.0,1,3,250.0,DC,1000.0,320.0,Subsea Cable,FRA;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
62,2014.0,2018.0,3,4,250.0,DC,1000.0,320.0,Subsea Cable,FRA;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
62,2018.0,2020.0,4,5,250.0,DC,1000.0,320.0,Subsea Cable,FRA;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,1
63,2010.0,2018.0,2,6,140.0,AC,800.0,400.0,Overhead Line,AUT;ITA,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
68,2014.0,2015.0,2,1,120.0,AC,,400.0,Overhead Line,ITA;SVN,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
68,2015.0,2016.0,1,6,120.0,AC,,400.0,Overhead Line,ITA;SVN,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
70,2014.0,2020.0,4,5,475.0,DC,1200.0,500.0,Subsea Cable,ITA;MNE,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
75,2010.0,2016.0,4,5,,,,,,ITA,1.0,EU,Internal,,,,0,0
86,2010.0,2026.0,3,3,178.0,AC,0.0,400.0,ACTransmissionLine,ITA,1.0,EU,Internal,New,Cable/Line,Onshore,1,0
90,2010.0,2022.0,3,4,80.0,AC,0.0,400.0,ACTransmissionLine,ITA,1.0,EU,Internal,New,Cable/Line,Onshore,1,0
90,2022.0,2026.0,4,4,80.0,AC,0.0,400.0,ACTransmissionLine,ITA,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
91,2010.0,2012.0,3,4,85.0,AC,250.0,400.0,Overhead Line,ITA,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
91,2012.0,2015.0,4,5,85.0,AC,250.0,400.0,Overhead Line,ITA,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
92,2010.0,2013.0,3,4,,,,,,ITA,1.0,EU,Internal,,,,0,0
92,2013.0,2016.0,4,5,,,,,,ITA,1.0,EU,Internal,,,,0,0
96,2010.0,2020.0,3,4,30.0,AC,0.0,400.0,ACTransmissionLine,ITA,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
96,2020.0,2022.0,4,5,30.0,AC,0.0,400.0,ACTransmissionLine,ITA,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
121,2010.0,2016.0,3,6,,,,,,CHE,1.0,Extra-EU,Internal,,,,0,0
122,2010.0,2016.0,3,6,120.0,AC,,400.0,Overhead Line,CHE,1.0,Extra-EU,Internal,Upgrade,Cable/Line,Onshore,0,0
