Substation_Name;Countries
;"DEU;MAR"
;"AUT;ITA"
;"SVK;UKR"
- Wind Park Nordergründe;DEU
Aach;"DEU;LUX"
Airolo;CHE
Aizkraukle;"LTU;LVA"
Albertirsa;"HUN;ROU"
Aliano;ITA
Aljarafe;
Allacqua;"CHE;ITA"
Alqueva;PRT
Altheim;DEU
Altomonte;ITA
Alytus;LTU
Alytus;"EST;LTU;LVA;POL"
Alytus;
Anaklia;"GEO;ROU"
Annaba;"DZA;ITA;TUN"
Annunziata;ITA
Antwerp Area Or Izegem -;"BEL;ISL"
Arachtos;"ALB;GRC;LBY"
Aracthos;GRC
Arad;"ROU;SRB"
Arad;"HUN;ROU"
Aragon Region;"ESP;FRA"
Arcos;
Arenales;ESP
Arenales - Caceres;ESP
Argyll;"IRL;GBR"
Arkale;ESP
Artsyz;"ROU;UKR"
Aruküla;"EST;FIN"
Aruküla Balti Harku Kiisa Paide Rakvere Sindi Substations;"EST;LTU;LVA;POL"
Athens Site;GRC
Atherinolakkos;"EGY;GRC"
Atherinolakkos Crete;GRC
Aubange;"BEL;DEU;LUX"
Aubange;"BEL;FRA"
Audorf;"DEU;DNK"
Audorf;DEU
Aulepa;"EST;FIN"
Austrian National Border;"AUT;CHE;DEU"
Austrian National Border;"AUT;DEU"
Avedøre;"DNK;POL"
Avelgem;BEL
Avelinmastaing;"BEL;FRA"
Avenza;ITA
Azpeitia;ESP
Babaeski;"GRC;TUR"
Babylon;CZE
Baczyna;POL
Baczyna-Plewiska Indentation;"DEU;POL"
Baden-Würtemberg Bavaria;DEU
Baden-Württemberg Area;DEU
Baekeland;"BEL;DNK"
Baixas;"ESP;FRA"
Baixas;FRA
Bajina Basta;"BIH;MNE;SRB"
Bajina Basta;"ISL;SRB"
Balti;"EST;LTU;LVA;POL"
Balti;"MDA;ROU"
Banja Luka;"BIH;HRV"
Barnabos;"FRA;GBR"
Baru Mare;"HUN;ROU"
Bassecourt;CHE
Bauler;"DEU;LUX"
Baza;ESP
Beariz;"ESP;PRT"
Bekescsaba;"HUN;ROU"
Belgium;"BEL;DEU;DNK;NOR"
Belgrade;"HUN;SRB"
Belgrade;"ROU;SRB"
Belgrade;SRB
Belgrade West;SRB
Bellacorick Mayo;"GBR;IRL"
Bellacorick Replacement;"GBR;IRL"
Benevento;ITA
Benevento Ii;ITA
Bentwisch;DEU
Bentwisch;"DEU;DNK"
Bentwischlü Dershagen;DEU
Berchem;LUX
Bericevo;
Berievo;SVN
Bertrange;"DEU;LUX"
Bescanó;ESP
Beverwijk;NLD
Bezdecin;CZE
Beznau;CHE
Beznau;"CHE;DEU"
Bicker Fen;"DNK;GBR"
Bickigen;
Bickigen;CHE
Bisaccia;ITA
Bisamberg;AUT
Bitenai;
Bitenai;"EST;LTU;LVA;POL"
Bitenai;LTU
Bitola;"ALB;MKD"
Bitola;"GRC;MKD"
Blagoevgrad;"BGR;CZE;GRC;HUN;MKD;POL;ROU;SVK"
Bleiswijk;NLD
Blyth;"GBR;NOR"
Bobov Dol;"BGR;SRB"
Bodelwyddan;"GBR;IRL"
Bofferdange;"DEU;LUX"
Bolano;ITA
Bonaduz;"CHE;ITA"
Bonaduz;CHE
Bonaduz - Grynau;CHE
Bordeaux Area;FRA
Border Area;AUT
Border Area;"AUT;CHE;DEU"
Border Area;CHE
Border It-Si;SVN
Bornholm Energy Island;"DEU;DNK"
Borssele;NLD
Bramford;GBR
Breite;CHE
Bretagne Sud;FRA
Brinje;HRV
Broceni;"LTU;LVA"
Broceni;"EST;LVA"
Bruegel;BEL
Brunsbüttel;DEU
Brunsbüttel Wilster;DEU
Brünzowkemnitz;"DEU;EST;LVA"
Bucharest South;"HUN;ROU"
Bucuresti Sud;"BGR;CZE;GRC;HUN;MKD;POL;ROU;SVK"
Burgas;"BGR;ROU"
Burgas;"BGR;GRC"
Burgenland North;AUT
Bâtiaz;CHE
Bünzwangen;DEU
Bürstadt;DEU
Büttel;DEU
Calenzano;ITA
Cantegrit;"ESP;FRA"
Canterbury;GBR
Caparacena;ESP
Caracoli;ITA
Cartuja;ESP
Cartuja;
Cassano;ITA
Castasegna;"CHE;ITA"
Castejon;
Cebin;CZE
Cechy Stred;CZE
Central;"IRL;GBR"
Cernavoda;"BGR;ROU"
Ch. Mogila;"BGR;GRC;MKD"
Chamoson;
Chamoson;CHE
Chania I;GRC
Charente-Maritime;FRA
Chiari;ITA
Chignolo Po;ITA
Chilling;"FRA;GBR"
Chippis;CHE
Châtelard;CHE
Cirkovce;
Cirkovce;SVN
Cirkovce;"HRV;SVN"
Cirkovce;"HRV;HUN;SVN"
Cloppenburg;DEU
Cloppenburg East;DEU
Cloppenburgeast;DEU
Cluj E - Gadalin;ROU
Cluster Borwin;DEU
Cluster Borwin;
Cluster Dolwin;
Cluster Dolwin;DEU
Cluster Helwin;DEU
Cluster Sylwin;DEU
Codrongianos - Lucciana;"FRA;ITA"
Coleraine;"IRL;GBR"
Colunga;ITA
Connahs Quay;"GBR;IRL"
Conneforde;DEU
Constanta South;"HUN;ROU"
Constanta Sud;"GEO;ROU"
Converter In Malta;"MLT;TUN"
Coolkeeragh;"IRL;GBR"
Cordemais;FRA
Cornier;"CHE;FRA"
Costa Verde;ESP
Courcelles;BEL
Creys;"CHE;FRA"
Cruachan;"IRL;GBR"
Cubnezais;FRA
Cubnezais;"ESP;FRA"
D.Rodrigo;
Dahlem;"BEL;DEU"
Dakovo;"BIH;HRV"
Damasta;GRC
Damietta;"CYP;EGY"
Danish;"DEU;DNK;NLD"
Danish Energy Island;"DEU;DNK"
Danish Energy Island;"BEL;DNK"
Danish Island;"BEL;DEU;DNK;NOR"
Darbenai;LTU
Darbenai;"LTU;LVA"
Darbenai;"EST;LTU;LVA;POL"
Darbnai;LTU
Dauersberg;DEU
Daxlanden;DEU
De Jebil;"DZA;ITA;TUN"
Debrecen Dél;"HUN;ROU"
Deeside;GBR
Dekani;"ITA;SVN"
Deliceto;ITA
Derbenai;"EST;LVA"
Derbenai;"LTU;LVA"
Diele;DEU
Diele De;"DEU;NLD"
Diemen;NLD
Dingtuna;SWE
Divaca;SVN
Divaca;
Divaca;"ITA;SVN"
Divor;PRT
Djerdap;"ROU;SRB"
Djerdap;"DEU;ROU;SRB"
Dk;"DNK;SWE"
Dodewaard;"AUT;ISL;ITA;NLD"
Dodewaard;NLD
Doel;"BEL;NLD"
Doel;BEL
Doetinchem;"DEU;NLD"
Dollern;DEU
Draganesti Olt;"BGR;CZE;GRC;HUN;MKD;POL;ROU;SVK"
Dublin Area;IRL
Dubrovo;"BGR;GRC;MKD"
Dungeness;GBR
Dunowo;"DNK;POL"
Dunowo;"EST;LTU;LVA;POL"
Dunstown;"GBR;IRL"
Dunstown;"IRL;GBR"
Dunstown Laois Or Other Tbc;"GBR;IRL"
Dutch;"DEU;DNK;NLD"
Dörpenwest;DEU
Dürnrohr;AUT
East Anglia Connection Node;"DEU;GBR"
Ee;"EST;FIN"
Eemshaven;NLD
Eemshaven;"DEU;NLD"
Eemshaven;"DNK;NLD"
Eemshaven Oude Schip;NLD
Eesti;"EST;LVA;LTU;POL"
Eesti;"EST;LTU;LVA;POL"
Eichstetten;DEU
Eichstetten;"AUT;BEL;DEU;FRA"
Eichstetten;"DEU;FRA"
Eindhoven;NLD
Eisenhuettenstadt;"DEU;POL"
Eisenhüttenst Adt;"DEU;POL"
Ejea De Los Caballeros;"ESP;FRA"
Ek;POL
Ek Bis;"LTU;POL"
Ekhyddan;"LTU;LVA;SWE"
Elbasan;"ALB;GRC;LBY"
Elbasan;"ALB;MKD"
Elk Bis;"EST;LTU;LVA;POL"
Els Aubals;ESP
Elsflehtwest;DEU
Elwind Off-Shore;"EST;LVA"
Emden;"DEU;NLD"
Emden Borßum;DEU
Emden East;DEU
Emdeneast;
Emdeneast;DEU
Emdenost;DEU
Endersbach;DEU
Endrup;"DNK;NLD"
Endrup;DNK
Endrup;"DEU;DNK"
Ens;NLD
Ensdorf;"DEU;FRA"
Ernestinovo;"HRV;SRB"
Escatron;ESP
Estarreja;PRT
Exeter;"FRA;GBR"
Exeter;"ESP;FRA;GBR"
F. Alentejo;PRT
Falagueira;PRT
Fano;ITA
Fedderwarden;"DEU;GBR"
Feira;PRT
Fi;"FIN;SWE"
Fi;"EST;FIN"
Fiddes;"DEU;GBR"
Fier;"ALB;GRC"
Filippi;GRC
Fillipi;"GRC;TUR"
Finglas Dublin;"GBR;IRL"
Foggia;ITA
Fontefria;"ESP;PRT"
Foretaille;CHE
Forlì;ITA
Fos;FRA
Fos Sur Mer - Realtor Area;FRA
Fridão;PRT
Fundão;PRT
Gabcikovo;"HUN;SVK"
Gabíkovo;"HUN;SVK"
Gadalin;ROU
Gadalin;"MDA;ROU"
Galatina;"GRC;ITA"
Ganderkesee;DEU
Gatica;"ESP;FRA;GBR"
Gatica;ESP
Gatica;"ESP;FRA"
Gaticahernani Spain Cordemais France And Langageindian Queens;"ESP;FRA;GBR"
Gb Hunterston;GBR
Gdansk Blonia;"EST;LTU;LVA;POL"
Geertruidenberg;NLD
Genissiat;"CHE;FRA"
German;"DEU;DNK;NLD"
German Border;"DEU;LUX"
German Grid Connection;"DEU;DNK"
German Located In The Area North Of Bremen;"DEU;DNK;NLD"
German Located In The Rastede;"DEU;DNK;NLD"
Germany;"BEL;DEU;DNK;NOR"
Germany;"CHE;DEU"
Gezelle;"BEL;GBR"
Giai;"EST;LTU;LVA;POL"
Gironde Loire-Atlantique Link;FRA
Glenluce;IRL
Glinsk;"GBR;IRL"
Glorenza;"AUT;ITA"
Gnewitz;"DEU;SWE"
Gnyü;"HUN;SVK"
Godelleta;ESP
Golbia;CHE
Goldshöfe;DEU
Gonyu;"HUN;SVK"
Gozon;ESP
Gradacac;"BIH;HRV"
Grafenrheinfeld;DEU
Grain West;"DEU;GBR"
Gramme;BEL
Gramme;"BEL;FRA"
Gramme;"BEL;DEU"
Grande Ile;"FRA;ITA"
Grandzay;FRA
Great Island;"GBR;IRL"
Great Island And A New In Cork Looping Into The Aghada Knockraha Circuits;IRL
Greater Vienna;AUT
Greater Vienna At;AUT
Greenwire North;"GBR;IRL"
Greenwire North Ac;"GBR;IRL"
Greenwire South Ac;"GBR;IRL"
Grenwire South;"GBR;IRL"
Griskonys;LTU
Grobina;"EST;LVA"
Grobina;"LTU;LVA"
Grobina;LVA
Grobina;"LVA;SWE"
Großgartach;DEU
Großgartach Bergrheinfeld West;DEU
Gubin;POL
Gubin;
Gubin;"DEU;POL"
Guenes;ESP
Guestrow;"DEU;SWE"
Gutinas;"BGR;ROU"
Gyr;HUN
Göhlsiems;DEU
Güstrow;DEU
Hackney;GBR
Hadera Site;"CYP;GRC;ISR"
Hadera Site;"CYP;ISR"
Halbemond;DEU
Hamburgnord;DEU
Hamra;SWE
Hanekenfähr;
Harku;"EST;LVA"
Hasdat;"HUN;ROU"
Hawthorn Pit;GBR
Heide;"DEU;DNK;NLD"
Heidewest;DEU
Heisdorf;LUX
Hemsjo;"LTU;LVA;SWE"
Herbertingen;
Herbertingen;"AUT;DEU"
Herbertingen;DEU
Herderen;"AUT;BEL;ISL"
Herderen;"AUT;BEL"
Hessebaden-Würtemberg;DEU
Hessenberg;AUT
Heviz Hu Zerjavenec;"HRV;SVN"
Heviz Hu Zerjavinec;"HRV;HUN;SVN"
Hikiä;"EST;FIN"
Hikiä;FIN
Hinkley Point;GBR
Hirvisuo;FIN
Horndal;SWE
Horta;BEL
Horta;"BEL;FRA"
Hradec;CZE
Hradec;"CZE;DEU"
Hunterston;GBR
Hunterston;"IRL;GBR"
Hurva;"DEU;SWE"
Huutokoski;FIN
Ichaso;
Ichaso;ESP
Idomlund;DNK
Ignalinos Ae;"EST;LTU;LVA;POL"
Imanta;LVA
In Italy It Ragusa Terminal;"ITA;MLT"
In Malta Mt Maghtab Terminal;"ITA;MLT"
Indian Queens;"ESP;FRA;GBR"
Inhausen;DEU
Inkoo;"EST;FIN"
Innertkirchen;CHE
Isaccea;"ROU;UKR"
Isar;"AUT;DEU"
Isar;DEU
Isaraltheimottenhofen;"AUT;DEU"
Ishøj Bjæverskov;"DEU;DNK"
Jagodina;"BGR;SRB"
Jm Oriol;ESP
Jurbarkas;
Jylkkä;FIN
Kandeliousa;"EGY;GRC"
Kandeliousa;GRC
Karlslund;SWE
Kassoe;"DEU;DNK"
Keminmaa;FIN
Kemsley Kent;"BEL;GBR"
Kergord Shetland;NOR
Khae;
Khae;"EST;LTU;LVA;POL"
Kiel;DEU
Kiisa;EST
Kiisa;"EST;FIN"
Kilingi-Nomme;"EST;LVA"
Kilroot;IRL
Kinaros;GRC
Kingsnorth;"FRA;GBR"
Kisvárda Area;"HUN;SVK"
Klaipeda;LTU
Klaipeda;
Klaipeda;"LTU;SWE"
Klixbüll;"DEU;DNK"
Klixbüll;DEU
Knockraha;"FRA;IRL"
Kocin;CZE
Kofinou;"CYP;EGY"
Kofinou Site;"CYP;GRC;ISR"
Konjsko;HRV
Konjsko;"BIH;HRV"
Korakia;GRC
Korakia;"CYP;GRC;ISR"
Korakia Site;GRC
Korakia Site;"CYP;GRC"
Kos;GRC
Koumoundouros;GRC
Kozienice;POL
Kragujevac;"BIH;ITA;MNE;SRB"
Kragujevac;"SRB;MNE;BIH"
Krajnik;"EST;LTU;LVA;POL"
Krajnik;POL
Krajnik;"DEU;POL"
Kraljevo;"SRB;MNE;BIH"
Kraljevo;"BGR;SRB"
Kraljevo;"ISL;SRB"
Kraljevo;"BIH;ITA;MNE;SRB"
Kreis Segeberg;DEU
Krimpen;NLD
Krimpen Aan De Ijssel;"AUT;ISL;ITA;NLD"
Krimpen Aan De Ijssel;NLD
Kristiansand;"BEL;DEU;DNK;NOR"
Kristiansand;"DNK;NOR"
Kristinestad;FIN
Kruckel;DEU
Kruonis;LTU
Krusevac;"BGR;SRB"
Krusevac;"ISL;SRB"
Kumanovo;"ALB;SRB;BGR;GRC;MKD"
Kvilldal;"GBR;NOR"
Kyndby;DNK
La Bâtiaz;"CHE;FRA"
La Gaudière;FRA
La Martyre;"FRA;IRL"
La Plana;ESP
La Planamorella;ESP
La Punt;CHE
La Ribina;ESP
La Secuita;ESP
La Spezia;"ESP;ITA"
La Spezia;"DZA;ITA;TUN"
La Spezia;"ESP;FRA;ITA"
Lacchiarella;ITA
Lachmatt;CHE
Ladce;"CZE;SVK"
Lagadas;GRC
Lagadas;"BGR;CZE;GRC;HUN;MKD;POL;ROU;SVK"
Laino;ITA
Landesbergen;DEU
Lastva;"ITA;MNE"
Lastva;MNE
Lastva;"BIH;MNE;SRB"
Latina;ITA
Laufenburg;CHE
Lavera;FRA
Lavorgo;CHE
Lavrio;GRC
Lavrion Ss;GRC
Le Havre;FRA
Le Havre Port Jérôme Area;FRA
Le Mandarins;"FRA;GBR"
Leiston;"BEL;GBR"
Lemeany;"SVK;UKR"
Leskovac;"BGR;SRB"
Leskovac;"MKD;SRB"
Levitha;GRC
Levitha Island;GRC
Liefkenshoek;BEL
Lienz;"AUT;ITA"
Lienz;"AUT;ITA;SVN"
Lienz;AUT
Lietuvos E;"EST;LTU;LVA;POL"
Lihula;EST
Lihula;"EST;LVA"
Lika;HRV
Lika;"BIH;HRV"
Lillo;BEL
Lillo - Liefkenshoek;BEL
Limmern;CHE
Lindome;"DNK;SWE"
Linoperamata;"EGY;GRC;LBY"
Linoperamata;"BGR;GRC;MKD"
Liviere;FRA
Lixhe;"AUT;BEL"
Lixhe;"AUT;BEL;ISL"
Lixhe;"BEL;DEU"
Lodgewood;"IRL;GBR"
Lonny;"BEL;FRA"
Louth;"IRL;GBR"
Lovedean;"FRA;GBR"
Lower Saxony;DEU
Lubmin;DEU
Lux-De;"BEL;DEU;LUX"
Lv-Grobina;DEU
Maasbracht;"BEL;NLD"
Maasbracht;NLD
Maasvlakte;"DEU;DNK;NLD"
Maasvlakte;NLD
Mablethorpe;"GBR;NLD"
Mablethorpe Lincolnshire;"DNK;GBR"
Magadino;
Magadino;CHE
Magenta;ITA
Malling;DNK
Malta;"MLT;TUN"
Manche;FRA
Mandarins;"FRA;GBR"
Marex Wind;"GBR;IRL"
Maritsa East;"BGR;TUR"
Maritsa East;"BGR;CZE;GRC;HUN;MKD;POL;ROU;SVK"
Maritsa East;"BGR;GRC"
Marmagne;FRA
Marmagne Or Eguzon;FRA
Marsa Dhib;"DZA;ITA;TUN"
Marsillon;"ESP;FRA"
Marxheim;DEU
Massenhoven;BEL
Maynooth;"GBR;IRL"
Mecklar;DEU
Meeden Nl;"DEU;NLD"
Melina;"BIH;HRV"
Meliti;"GRC;MKD"
Menuel;FRA
Menuel;"FRA;GBR"
Mercator;BEL
Mersa Matruh;"EGY;GRC"
Merzen;DEU
Mese;"CHE;ITA"
Mesogeia St Stefanos;"EGY;GRC"
Messaure;"FIN;SWE"
Mettlen;CHE
Mettlen;"CHE;DEU"
Mettlen Bonaduz;"AUT;CHE;DEU"
Mezquita;ESP
Mikulowa;POL
Mikuowa;POL
Mintia;ROU
Miosna;POL
Mires;LBY
Mirovka;CZE
Missing Value;"ALB;MKD"
Mlaabi;"ITA;TUN"
Moerdijk;"GBR;NLD"
Mog;BEL
Molai;GRC
Montalto;ITA
Montalto Di Castro;"ITA;TUN"
Montalto Di Castro;ITA
Montecorvino;ITA
Morella;ESP
Morzyczyn;"EST;LTU;LVA;POL"
Most Appropriate Connection Site Under Study;"BEL;GBR"
Moulaine;"BEL;FRA"
Mua;LTU
Mudejar;ESP
Muhlbach;"DEU;FRA"
Muhlbach;"AUT;BEL;DEU;FRA"
Mukacheve;"SVK;UKR"
Muruarte;
Musa;"LTU;LVA"
Musa;LTU
Musa;"EST;LTU;LVA;POL"
Mustvee;EST
Mühleberg;CHE
N.A.;
N.A.;"DEU;POL"
N.Santa;"BGR;GRC"
Nadab;"HUN;ROU"
Nant De Drance;CHE
Nantes Area;FRA
Narew;POL
Nauders;"AUT;ITA"
Nea Santa;"GRC;TUR"
Nea Santa;"BGR;GRC"
Nea Santa;"BGR;CZE;GRC;HUN;MKD;POL;ROU;SVK"
Neris;"EST;LTU;LVA;POL"
Neuravensbu Rg;AUT
Neuravensburg;"AUT;DEU"
New;ITA
New Connection To Lines In The Shannon Estuary;IRL
New In South Donegal;"GBR;IRL"
New On Gotland;"LVA;SWE"
Ni Kilroot;GBR
Niederlangen Germany;"DEU;GBR"
Niederrhein;"DEU;NLD"
Niederrhein;DEU
Niederstedem;"DEU;LUX"
Nile West;"EGY;GRC"
Nile West Point;"EGY;GRC"
Nis;"BGR;SRB"
Nis;"ISL;SRB"
Nor--;DEU
Nor--X;"DEU;NLD"
North Atlantic Oss;FRA
North Finland;FIN
North Rhine-Westphalia;DEU
Northern;"IRL;GBR"
Norwich Main;"DNK;GBR"
Not Applicable - Connection Point At Sea-Socket Platform;IRL
Novi Sad;"HUN;SRB"
Nuojuankangas;FIN
Nybro;"LTU;LVA;SWE"
Nybro;"LTU;SWE"
Nybrohemsjo;"LTU;LVA;SWE"
Oberjettingen;"CHE;DEU"
Obersielach;"AUT;SVN"
Obersielach;AUT
Oberzier;"BEL;DEU"
Obrenovac;"BIH;MNE;SRB"
Ohrid;"ALB;MKD"
Ohrid Area;MKD
Okroglo;"ITA;SVN"
Okroglo;SVN
Oldstreet;"GBR;IRL"
Olsztyn Mtki;POL
Oléron;FRA
Oma;POL
Omagh South;"GBR;IRL"
On Danish Energy Island;"BEL;DNK"
Onshore;BEL
Or Stevin -;"BEL;ISL"
Or Stevin -;BEL
Oradea Sud;"HUN;ROU"
Oskarshamn;"LVA;SWE"
Oss Mistral;FRA
Oss Tramontane;FRA
Osterath;DEU
Ostroka;POL
Ostroleka;"LTU;POL"
Otrokovice;"CZE;SVK"
Ottenhofen;"DEU;GRC"
Ourique;PRT
Ovelgönnerastedewiefelstedewesterstede;DEU
Owf Cluster Baltic Sea;DEU
Owf Cluster Baltic Sea East;DEU
Pagegiai;LTU
Paide;"EST;FIN"
Paide;EST
Paide;"EST;LVA"
Paide;"EST;LTU;LVA;POL"
Pallanzenoit-Baggio;"CHE;ITA"
Pamplona Area;"ESP;FRA"
Pancevo;"ROU;SRB"
Pancevo;SRB
Paneveys;LTU
Paneveys;"LTU;LVA"
Panevezys;LTU
Panevezys;"LTU;LVA"
Panóias;PRT
Paraimo Batalha;PRT
Parndorf;AUT
Paroseni;"HUN;ROU"
Partanna;"ITA;TUN"
Pavilosta;"EST;LVA"
Pedralva;PRT
Pelham;GBR
Pembroke;"IRL;GBR"
Pembroke;"GBR;IRL"
Pembroke;GBR
Penela;PRT
Pentir;"GBR;IRL"
Pentir;IRL
Pergousa;GRC
Pergousa;"EGY;GRC"
Petajavesi;FIN
Peterhead;"GBR;NOR"
Peterhead;GBR
Peterhead;NOR
Petäjäskoski;FIN
Petäjävesi;FIN
Petäjävesitoivila;FIN
Philippsburg;DEU
Pila Krzewina;"EST;LTU;LVA;POL"
Piossasco;"FRA;ITA"
Pl-Lt Border;LTU
Pl-Lt Border;POL
Plat;HRV
Platform;BEL
Platform;LTU
Platform With Equipment For Reactive Power Compensation;"EST;LVA"
Pleinting;"AUT;DEU"
Plewiska;"DEU;POL"
Plewiska;POL
Pljevlja;MNE
Pljevlja;"BIH;MNE;SRB"
Plovdiv;"BGR;GRC"
Pluvigner;FRA
Podlog;
Podlog;"AUT;SVN"
Polkowice;"DEU;POL"
Polsum;DEU
Ponte De Lima;"ESP;PRT"
Ponte De Lima;PRT
Portile De Fier;"ROU;SRB"
Portile De Fier;"DEU;ROU;SRB"
Pozarevac;"BGR;SRB"
Pozega;"BGR;SRB"
Pradella;CHE
Pradella Ova Spin;CHE
Prati Di Vizze;"AUT;ITA"
Prestice;CZE
Princess Elisabeth Island;"BEL;GBR"
Princess Elisabeth Island;BEL
Priolo;ITA
Pristina;"ALB;SRB"
Prizren;"ALB;SRB;BGR;GRC;MKD"
Pulgar;DEU
Pyhanselka;FIN
Pyhänselkä;FIN
Pyhänselkä;"FIN;SWE"
Püssi;"EST;FIN"
Raitersaich;DEU
Rakvere;"EST;FIN"
Ramis;ESP
Ramis;"ESP;ITA"
Ramsele;SWE
Ras Ghareb Wind Farms;"EGY;GRC"
Razbojiste;"BIH;HRV"
Reboria;ESP
Recareivermoim;PRT
Redipuglia;"ITA;SVN"
Redipuglia;ITA
Redwitz;DEU
Ree;"ESP;PRT"
Region Hamm;DEU
Regoledo;"CHE;ITA"
Reitdorf;AUT
Rejim Maatoug;"MLT;TUN"
Rejim Maatoug;"ITA;TUN"
Resita;"ROU;SRB"
Revsing;"BEL;DNK"
Revsing;"DEU;DNK;NLD"
Revsing;"DNK;GBR"
Ribeira De Pena;PRT
Richborough;"BEL;GBR"
Richborough;GBR
Riddes;CHE
Riga Chp;"EST;LVA"
Riga Hpp;"EST;LVA"
Rilland;"BEL;NLD"
Rilland;NLD
Rimavska Sobota;"HUN;SVK"
Rimavska Sobotá;"HUN;SVK"
Rimavská Sobota;"HUN;SVK"
Rizziconi;ITA
Robbia;CHE
Romanel;CHE
Rommelsbach;DEU
Rommerskirchen;DEU
Rondissone;ITA
Roost;"DEU;LUX"
Rosiori;"HUN;ROU"
Rossano;ITA
Rueyres;FRA
Råbäcken;SWE
Röhrsdorf;"CZE;DEU"
Rüthi;"AUT;CHE;DEU"
Rüthi;CHE
S. Barbara;ITA
Saaremaa-;"EST;LVA"
Saaremaa-;"DEU;EST;LVA"
Saint Vulbas;"CHE;FRA"
Sajoivanka;"HUN;SVK"
Sajóivánka;"HUN;SVK"
Salgareda;"ITA;SVN"
Saloum Eg Tobruk;LBY
Sama;ESP
Sanitzdettmannsdorf;DEU
Santa Llogaia;ESP
Santiponce;
Saucats;"ESP;FRA"
Schalkau Altenfeld;DEU
Schifflange;LUX
Schleswig Holstein Area;DEU
Schleswig-Hostein;DEU
Schwanden;CHE
Schwandorf;DEU
Se;DEU
Se;SWE
Se;"DNK;SWE"
Se;"FIN;SWE"
Seabank;GBR
Search Area;"DEU;NLD"
Seia;PRT
Seidafjellet;"FIN;NOR"
Selargius;ITA
Sellindge;"FRA;GBR"
Sellindge;GBR
Seyring;AUT
Shtip;"MKD;SRB"
Siedenbrünzowalt Telinbartow;DEU
Siedlce Ujrzanów;POL
Siedlce Ujrzanów;BEL
Sima;"GBR;NOR"
Sima;NOR
Sindi;"EST;LTU;LVA;POL"
Sindi;"EST;FIN"
Sindi;"EST;LVA"
Skavica;"ALB;SRB;BGR;GRC;MKD"
Smardan;"BGR;ROU"
Sobrado;PRT
Sofia West;"BGR;SRB"
Solhøjgård;"DEU;DNK"
Sombor;"HUN;SRB"
Sombor;"HRV;SRB"
Somplago;"AUT;ITA"
Sopi;"EST;FIN"
Sorgente;ITA
Soto De Ribera;"ESP;FRA;GBR"
South Donegal;"GBR;IRL"
South Finland;FIN
Southern;"IRL;GBR"
Southern Part Of Norway;NOR
Southern Uk;"IRL;GBR"
Splitting Point;BGR
Srananagh;"GBR;IRL"
Sremska Mitrovica;"HUN;SRB"
St Triphon;CHE
St. Johns Wood;GBR
St. Peter;AUT
St. Peter;"AUT;DEU"
Sta.Llogaia;ESP
Sta.Llogaia;"ESP;FRA"
Stade;DEU
Stalpu;"BGR;ROU"
Stanisawów;POL
Stanislawow;"LTU;POL"
Steinach;"AUT;ITA"
Stevin;BEL
Stilow;"DEU;DNK"
Subotica;"HUN;SRB"
Substations In The Baltics;"EST;LTU;LVA;POL"
Suceava;ROU
Suceava;"MDA;ROU"
Suvereto;"DZA;ITA;TUN"
Suvereto;"FRA;ITA"
Svoboda;"BGR;CZE;GRC;HUN;MKD;POL;ROU;SVK"
Svoboda;BGR
Swiebodzice;POL
Swiss Node;"CHE;ITA"
Switzerland;"CHE;DEU"
Sy Pozega;"BGR;SRB"
Sy Pozega;"BGR;BIH;MNE;SRB"
Syrna;"EGY;GRC"
Syrna;GRC
Sándorfalva;"HUN;SRB"
Sørvest F Windfarm;"BEL;DEU;DNK;NOR"
Tabarderie;FRA
Tan Tan;"DEU;MAR"
Targu Jiu Nord;"HUN;ROU"
Tarnita;ROU
Tartu;"EST;LTU;LVA;POL"
Tauern;AUT
Tavira;PRT
Tba E.G. Mongstad Kollsnes Fana;NOR
Tbc;PRT
Tbc;"DEU;GBR"
Tec;"EST;LVA;LTU;POL"
Telsiai;"EST;LVA"
Telsiai;LTU
Thesprotia;"DEU;GRC"
Thesprotia;"GRC;ITA"
Thesprotia;"ALB;GRC"
Thesprotia;GRC
Thessaloniki;"BGR;GRC;MKD"
Tiengen;"CHE;DEU"
Tiengen;DEU
Tiengen;
Tilburg;NLD
Tilburg;"BEL;NLD"
Timisoara;"ROU;SRB"
Timisoara-Sacalaz;"ROU;SRB"
Tirana;"ALB;SRB"
Tjele;"DNK;NOR"
