"Time","Starting_State","Event_Type","Variable_Analyzed","Level_Value","Prob_Event","Lower_Event","Upper_Event"
0.0999999999999091,"1","success","is_EU","0",0.00504322592819273,0,0.0123993014956588
1,"1","success","is_EU","0",0.0516526393654196,0.018448799351944,0.0837332623822551
2,"1","success","is_EU","0",0.162736663896973,0.0783062111325051,0.239432984740284
3,"1","success","is_EU","0",0.179768353623564,0.0873108710554775,0.262859683126244
4,"1","success","is_EU","0",0.241275483290181,0.121066749602285,0.345043674253918
5,"1","success","is_EU","0",0.250513008672617,0.126226679850584,0.357120734616941
6,"1","success","is_EU","0",0.264487441996844,0.134160127265058,0.375197724180168
8,"1","success","is_EU","0",0.270779733408973,0.137543449776017,0.383433058663665
10,"1","success","is_EU","0",0.283908521015349,0.143033529039238,0.401625356824604
14,"1","success","is_EU","0",0.283908521015349,0.143033529039238,0.401625356824604
0.0999999999999091,"1","success","is_EU","1",0.013303580815337,0,0.0317680826426689
1,"1","success","is_EU","1",0.13106207061483,0.0666804655147301,0.191002548188814
2,"1","success","is_EU","1",0.375304534326418,0.258270627721927,0.473872224266143
3,"1","success","is_EU","1",0.40840384493863,0.284532800829828,0.510828712917483
4,"1","success","is_EU","1",0.518769356106009,0.377253624780378,0.628126406129697
5,"1","success","is_EU","1",0.534134006793881,0.390674060903367,0.643817684919689
6,"1","success","is_EU","1",0.556790789855255,0.410845308142078,0.666582636662596
8,"1","success","is_EU","1",0.566763814197395,0.419356604946931,0.67674894042042
10,"1","success","is_EU","1",0.587119656679921,0.43265027695897,0.699532455949083
14,"1","success","is_EU","1",0.587119656679921,0.43265027695897,0.699532455949083
1,"1","cancelled","is_EU","0",0.0232542783361566,0.00609036279582287,0.0401217886645392
2,"1","cancelled","is_EU","0",0.22728428364406,0.155021634667841,0.293367022398544
4,"1","cancelled","is_EU","0",0.318348734126418,0.225046545281402,0.400417605163422
5,"1","cancelled","is_EU","0",0.32800860662946,0.232707811575026,0.411472657253262
6,"1","cancelled","is_EU","0",0.458953595134893,0.34092591043686,0.555844757284433
8,"1","cancelled","is_EU","0",0.474716174157793,0.353666178242824,0.573095065733557
10,"1","cancelled","is_EU","0",0.474716174157793,0.353666178242824,0.573095065733557
14,"1","cancelled","is_EU","0",0.506733656520073,0.364862402852408,0.616915001248907
1,"1","cancelled","is_EU","1",0.0122437832227211,0.00313174274295047,0.0212725335775424
2,"1","cancelled","is_EU","1",0.126286608811329,0.0836465786392863,0.166942500406825
4,"1","cancelled","is_EU","1",0.181806648028609,0.124509786692413,0.235353689813337
5,"1","cancelled","is_EU","1",0.187898156769792,0.129092520979806,0.242733103498117
6,"1","cancelled","is_EU","1",0.275020030667989,0.19696104610734,0.345491332164071
8,"1","cancelled","is_EU","1",0.28615661235535,0.205466420718558,0.358652176104583
10,"1","cancelled","is_EU","1",0.28615661235535,0.205466420718558,0.358652176104583
14,"1","cancelled","is_EU","1",0.309279183701171,0.213513812643675,0.39338382067177
1,"2","success","is_EU","0",0.0171790484315354,0.00354360631738992,0.0306279040750365
2,"2","success","is_EU","0",0.0769309818328771,0.0353999800152487,0.116673859996928
3,"2","success","is_EU","0",0.121616506666575,0.0591211902001311,0.179960741676447
4,"2","success","is_EU","0",0.164395093642897,0.0828748983117732,0.238669230356072
5,"2","success","is_EU","0",0.180155646195311,0.0913663913337174,0.260268651682365
6,"2","success","is_EU","0",0.209419787259787,0.107519899399112,0.299685144402044
8,"2","success","is_EU","0",0.240552895970436,0.123207993135206,0.342193018066791
10,"2","success","is_EU","0",0.257403348804403,0.131297527303185,0.365202927700914
12,"2","success","is_EU","0",0.257403348804403,0.131297527303185,0.365202927700914
1,"2","success","is_EU","1",0.0245329092397848,0.0052664997829629,0.0434261589173524
2,"2","success","is_EU","1",0.10840878377732,0.0513357108472968,0.162048254651357
3,"2","success","is_EU","1",0.169622734258601,0.0855233369855395,0.245987971757286
4,"2","success","is_EU","1",0.226973785057962,0.119492200549046,0.321335336995047
5,"2","success","is_EU","1",0.24778773893936,0.131261734809221,0.348683823008876
6,"2","success","is_EU","1",0.285975499472042,0.153426876959079,0.397770879468901
8,"2","success","is_EU","1",0.325934469409281,0.175652634893745,0.448819322092475
10,"2","success","is_EU","1",0.347269295963551,0.186991264640937,0.47594982260092
12,"2","success","is_EU","1",0.347269295963551,0.186991264640937,0.47594982260092
1,"2","cancelled","is_EU","0",0.00816179528111349,0,0.0198201706053096
2,"2","cancelled","is_EU","0",0.129873074413068,0.0626128734650599,0.192307164031502
3,"2","cancelled","is_EU","0",0.157831489509946,0.0782408897371737,0.230549725883583
4,"2","cancelled","is_EU","0",0.264748752782832,0.143448633808305,0.368871012443851
5,"2","cancelled","is_EU","0",0.278427623484211,0.151914221361844,0.386068358100848
6,"2","cancelled","is_EU","0",0.32052577399314,0.178704086364371,0.437857639198665
7,"2","cancelled","is_EU","0",0.354262806305007,0.197346693554607,0.480502328997193
8,"2","cancelled","is_EU","0",0.410138261154798,0.230562212585264,0.547803764456992
9,"2","cancelled","is_EU","0",0.424743528661102,0.238664398228765,0.565342790948695
10,"2","cancelled","is_EU","0",0.453591860700898,0.255236569004573,0.599118535810414
12,"2","cancelled","is_EU","0",0.453591860700898,0.255236569004573,0.599118535810414
1,"2","cancelled","is_EU","1",0.00314368852693681,0,0.0076911976076891
2,"2","cancelled","is_EU","1",0.0520453719853395,0.0235864303292895,0.0796748379096506
3,"2","cancelled","is_EU","1",0.0638656351827223,0.0298980010440244,0.0966439096765352
4,"2","cancelled","is_EU","1",0.111444762762819,0.0566911076438262,0.163020283155019
5,"2","cancelled","is_EU","1",0.117832744064606,0.0601812480545255,0.171947712435373
6,"2","cancelled","is_EU","1",0.137973492165332,0.0715024816164485,0.199685852146057
7,"2","cancelled","is_EU","1",0.154676064325933,0.0801256423289541,0.223184611828226
8,"2","cancelled","is_EU","1",0.183564448105573,0.0956708252204312,0.262915507995599
9,"2","cancelled","is_EU","1",0.191391227840193,0.0995751486321679,0.273844846218392
10,"2","cancelled","is_EU","1",0.207218118741728,0.10764683537331,0.295678957428996
12,"2","cancelled","is_EU","1",0.207218118741728,0.10764683537331,0.295678957428996
1,"3","success","is_EU","0",0.0136663361047226,0.000420177757675888,0.0267369599851356
2,"3","success","is_EU","0",0.0978305123605747,0.0462132733375448,0.146654318334181
3,"3","success","is_EU","0",0.125175925846001,0.061190685350344,0.184800205135372
4,"3","success","is_EU","0",0.221830085607711,0.117230208696281,0.314035865714211
5,"3","success","is_EU","0",0.25745258060353,0.138168018732927,0.360227188086338
6,"3","success","is_EU","0",0.295011023127091,0.160852868015813,0.407720721946438
7,"3","success","is_EU","0",0.306555685821564,0.167924036708999,0.422090003700505
8,"3","success","is_EU","0",0.34792109352493,0.193907787976911,0.472508363277
9,"3","success","is_EU","0",0.35596581414738,0.198685243705918,0.482375646662092
10,"3","success","is_EU","0",0.388271158897947,0.218396433698253,0.521225092655742
11,"3","success","is_EU","0",0.396938325884981,0.22375204457952,0.531485551431297
12,"3","success","is_EU","0",0.447621333916128,0.255007145838002,0.590436083997325
13,"3","success","is_EU","0",0.447621333916128,0.255007145838002,0.590436083997325
14,"3","success","is_EU","0",0.472735057719943,0.266232389757201,0.621122116216603
16,"3","success","is_EU","0",0.508906714468814,0.278210321114012,0.665868573424268
1,"3","success","is_EU","1",0.0258012808972047,0.00155497615554334,0.0494587867770501
2,"3","success","is_EU","1",0.177635936256539,0.0961445349458371,0.251780091525881
3,"3","success","is_EU","1",0.22434065298332,0.127006211344355,0.310822791143977
4,"3","success","is_EU","1",0.379013677583005,0.237460163679235,0.494290010487045
5,"3","success","is_EU","1",0.431900824030212,0.276405856728457,0.553981086305672
6,"3","success","is_EU","1",0.485242105242827,0.317242060040625,0.611903905166444
7,"3","success","is_EU","1",0.501137001393378,0.329606049459746,0.628779031824143
8,"3","success","is_EU","1",0.556146636710309,0.373786010300984,0.68540177743672
9,"3","success","is_EU","1",0.566490932656383,0.381486794424985,0.696158287688588
10,"3","success","is_EU","1",0.606865112373178,0.412617211061033,0.73687509613869
11,"3","success","is_EU","1",0.617378681870316,0.420852928238348,0.747216069586643
12,"3","success","is_EU","1",0.676148289580976,0.467497869067095,0.8030431725079
13,"3","success","is_EU","1",0.676148289580976,0.467497869067095,0.8030431725079
14,"3","success","is_EU","1",0.703545172454434,0.482544554298695,0.830158392369491
16,"3","success","is_EU","1",0.740983921903428,0.498490783551448,0.866225133034196
1,"3","cancelled","is_EU","0",0.00431987421121505,0,0.011220262797805
2,"3","cancelled","is_EU","0",0.0357553339355068,0.00193088061819002,0.0684334802285926
4,"3","cancelled","is_EU","0",0.0591057855076739,0.00557856257928313,0.109751771682101
5,"3","cancelled","is_EU","0",0.0768858337265025,0.00821123955638015,0.140805181545253
